Amendment_type,Original Accuracy (%),System Prompt Accuracy  (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
relation:hierarchical_down,80,86.9,6.9,5.542,Large,0.38,0,Yes,0,Yes,llama-70b-sys-prompt,trivia,Sycophancy
relation:hierarchical_up,81.48,84.58,3.1,2.611,Large,0.64,0.0113,Yes,0.0203,Yes,llama-70b-sys-prompt,trivia,Sycophancy
stake:high,77.52,83.27,5.75,4.214,Large,0.53,0,Yes,0.0001,Yes,llama-70b-sys-prompt,trivia,Sycophancy
stake:low,79.9,84.6,4.7,3.775,Large,0.53,0.0002,Yes,0.0004,Yes,llama-70b-sys-prompt,trivia,Sycophancy
unmodified,77.98,85.89,7.91,6.006,Large,0.37,0,Yes,0,Yes,llama-70b-sys-prompt,trivia,Sycophancy
emotion:anger,70.29,67.27,-3.02,1.961,Large,1.29,0.0578,No,0.1323,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
emotion:happy,63.87,66.4,2.53,1.659,Large,0.8,0.111,No,0.1665,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
emotion:sad,65.79,64.37,-1.42,0.923,Large,1.13,0.3914,No,0.4603,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
relation:close,63.2,66.33,3.13,1.934,Large,0.78,0.0611,No,0.1323,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_down,68.05,70.89,2.84,1.854,Large,0.78,0.0735,No,0.1323,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_up,69.48,69.79,0.31,0.2,Medium,0.97,0.894,No,0.894,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
stake:high,63.41,64.86,1.46,0.889,Large,0.89,0.4091,No,0.4603,No,llama-70b-sys-prompt,truthfulqa,Sycophancy
stake:low,66.26,70.52,4.26,2.832,Large,0.68,0.0056,Yes,0.0315,Yes,llama-70b-sys-prompt,truthfulqa,Sycophancy
unmodified,67.1,71.23,4.12,2.758,Large,0.69,0.007,Yes,0.0315,Yes,llama-70b-sys-prompt,truthfulqa,Sycophancy
emotion:anger,96.97,87.27,-9.7,3.771,Large,17,0.0001,Yes,0.0004,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:happy,97.58,90.91,-6.67,3.317,Large,∞,0.001,Yes,0.0015,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:sad,98.79,93.33,-5.45,2.714,Large,10,0.0117,Yes,0.0151,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:close,98.79,84.24,-14.55,4.536,Large,13,0,Yes,0,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:hierarchical_down,98.18,93.33,-4.85,2.53,Large,9,0.0215,Yes,0.0242,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:hierarchical_up,97.58,90.91,-6.67,3.317,Large,∞,0.001,Yes,0.0015,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
stake:high,97.58,86.67,-10.91,4.025,Large,19,0,Yes,0.0002,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
stake:low,96.97,96.97,0,0,Small,1,1,No,1,No,qwen-32-sys-prompt,disinfo,Sycophancy
unmodified,98.18,90.91,-7.27,3.464,Large,∞,0.0005,Yes,0.0011,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:anger,63.09,50.55,-12.54,7.679,Large,2.79,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:happy,58.89,44.82,-14.07,8.137,Large,2.79,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:sad,59.68,46.54,-13.14,8.017,Large,2.93,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:close,58.81,45.52,-13.29,8.033,Large,2.91,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:hierarchical_down,60,52.36,-7.64,5.055,Large,2.01,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:hierarchical_up,60.4,49.35,-11.06,6.875,Large,2.51,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
stake:high,59.64,45.51,-14.13,8.397,Large,3.03,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
stake:low,61.04,52.81,-8.23,5.085,Large,1.92,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
unmodified,59.98,51.65,-8.32,5.26,Large,2,0,Yes,0,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:anger,76.98,67.27,-9.71,8.348,Large,6.11,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:happy,73.6,63.9,-9.7,7.842,Large,4.46,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:sad,71.57,62.96,-8.61,7.374,Large,4.44,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:close,73.6,66,-7.6,6.881,Large,4.3,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:hierarchical_down,76.6,70.8,-5.8,5.581,Large,3.32,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:hierarchical_up,74.67,67.07,-7.61,7.118,Large,5,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
stake:high,76.55,68.94,-7.62,6.771,Large,4.04,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
stake:low,75.7,70.2,-5.5,5.419,Large,3.29,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
unmodified,76.7,67.4,-9.3,8.064,Large,5.65,0,Yes,0,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:anger,76.06,66.06,-10,7.24,Large,3.25,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
emotion:happy,75.66,65.72,-9.94,6.795,Large,2.78,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
emotion:sad,77.33,63.46,-13.87,9.053,Large,3.98,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:close,76.58,64.97,-11.61,7.982,Large,3.53,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_down,79.9,69.54,-10.36,7.323,Large,3.22,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_up,79.46,66.87,-12.59,8.714,Large,4.3,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
stake:high,78.35,66.77,-11.59,8.061,Large,3.65,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
stake:low,79.59,69.69,-9.9,7.333,Large,3.49,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
unmodified,80.36,67.91,-12.45,9.406,Large,6.12,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
"emotion:anger
original",96.24,94.74,-1.5,0.816,Large,2,0.6875,No,1,No,llama-70b-sys-prompt,disinfo,Normal
"emotion:happy
original",93.23,94.74,1.5,0.5,Large,0.78,0.8036,No,1,No,llama-70b-sys-prompt,disinfo,Normal
"emotion:sad
original",92.48,96.24,3.76,1.667,Large,0.29,0.1797,No,0.5391,No,llama-70b-sys-prompt,disinfo,Normal
"relation:close
original",90.98,93.23,2.26,0.905,Large,0.57,0.5488,No,0.9879,No,llama-70b-sys-prompt,disinfo,Normal
"relation:hierarchical_down
original",96.24,93.23,-3.01,1.155,Large,2,0.3877,No,0.8723,No,llama-70b-sys-prompt,disinfo,Normal
"relation:hierarchical_up
original",92.48,92.48,0,0,Small,1,1,No,1,No,llama-70b-sys-prompt,disinfo,Normal
"stake:high
original",93.23,92.48,-0.75,0.258,Medium,1.14,1,No,1,No,llama-70b-sys-prompt,disinfo,Normal
"stake:low
original",90.23,97.74,7.52,2.5,Large,0.23,0.0213,Yes,0.1758,No,llama-70b-sys-prompt,disinfo,Normal
"unmodified
original_combined",92.48,97.74,5.26,2.333,Large,0.12,0.0391,Yes,0.1758,No,llama-70b-sys-prompt,disinfo,Normal
"emotion:anger
original",58.63,63.65,5.02,2.218,Large,0.67,0.0328,Yes,0.1476,No,llama-70b-sys-prompt,medqa,Normal
"emotion:happy
original",64.14,62.91,-1.23,0.557,Large,1.11,0.6427,No,0.8263,No,llama-70b-sys-prompt,medqa,Normal
"emotion:sad
original",60.37,58.94,-1.42,0.626,Large,1.12,0.5917,No,0.8263,No,llama-70b-sys-prompt,medqa,Normal
"relation:close
original",64.11,66.73,2.62,1.163,Large,0.81,0.2831,No,0.6369,No,llama-70b-sys-prompt,medqa,Normal
"relation:hierarchical_down
original",62.9,64.52,1.61,0.763,Large,0.86,0.5047,No,0.8263,No,llama-70b-sys-prompt,medqa,Normal
"relation:hierarchical_up
original",59.31,65.38,6.07,2.652,Large,0.62,0.0101,Yes,0.0908,No,llama-70b-sys-prompt,medqa,Normal
"stake:high
original",60.82,60.82,0,0,Small,1,1,No,1,No,llama-70b-sys-prompt,medqa,Normal
"stake:low
original",64.06,68.47,4.42,1.93,Large,0.71,0.0651,No,0.1953,No,llama-70b-sys-prompt,medqa,Normal
"unmodified
original_combined",63.45,63.86,0.4,0.166,Small,0.97,0.9341,No,1,No,llama-70b-sys-prompt,medqa,Normal
"emotion:anger
original",87.6,91.8,4.2,3.28,Large,0.32,0.0015,Yes,0.0026,Yes,llama-70b-sys-prompt,trivia,Normal
"emotion:happy
original",89,88.8,-0.2,0.152,Small,1.05,1,No,1,No,llama-70b-sys-prompt,trivia,Normal
"emotion:sad
original",89.2,91.6,2.4,2.058,Large,0.48,0.0576,No,0.0741,No,llama-70b-sys-prompt,trivia,Normal
"relation:close
original",88.4,91.2,2.8,2.16,Large,0.5,0.0436,Yes,0.0653,No,llama-70b-sys-prompt,trivia,Normal
"relation:hierarchical_down
original",85.37,90.78,5.41,3.641,Large,0.34,0.0004,Yes,0.0011,Yes,llama-70b-sys-prompt,trivia,Normal
"relation:hierarchical_up
original",87.6,90,2.4,1.897,Large,0.54,0.0807,No,0.0908,No,llama-70b-sys-prompt,trivia,Normal
"stake:high
original",85.05,91.72,6.67,4.296,Large,0.28,0,Yes,0.0001,Yes,llama-70b-sys-prompt,trivia,Normal
"stake:low
original",86.8,91.4,4.6,3.355,Large,0.34,0.0011,Yes,0.0024,Yes,llama-70b-sys-prompt,trivia,Normal
"unmodified
original_combined",85.31,92.56,7.24,4.648,Large,0.25,0,Yes,0,Yes,llama-70b-sys-prompt,trivia,Normal
"emotion:anger
original",68.29,73.37,5.08,2.311,Large,0.65,0.0261,Yes,0.1319,No,llama-70b-sys-prompt,truthfulqa,Normal
"emotion:happy
original",72.21,72.21,0,0,Small,1,1,No,1,No,llama-70b-sys-prompt,truthfulqa,Normal
"emotion:sad
original",72.21,75.86,3.65,1.782,Large,0.7,0.0918,No,0.2066,No,llama-70b-sys-prompt,truthfulqa,Normal
"relation:close
original",72.63,73.46,0.82,0.392,Medium,0.93,0.7688,No,0.9884,No,llama-70b-sys-prompt,truthfulqa,Normal
"relation:hierarchical_down
original",77.27,75.41,-1.86,0.965,Large,1.23,0.3912,No,0.7041,No,llama-70b-sys-prompt,truthfulqa,Normal
"relation:hierarchical_up
original",71.72,71.93,0.2,0.102,Small,0.98,1,No,1,No,llama-70b-sys-prompt,truthfulqa,Normal
"stake:high
original",68.94,72.91,3.96,1.818,Large,0.69,0.0854,No,0.2066,No,llama-70b-sys-prompt,truthfulqa,Normal
"stake:low
original",76.46,75.65,-0.8,0.404,Medium,1.09,0.762,No,0.9884,No,llama-70b-sys-prompt,truthfulqa,Normal
"unmodified
original_combined",71.05,75.91,4.86,2.268,Large,0.65,0.0293,Yes,0.1319,No,llama-70b-sys-prompt,truthfulqa,Normal
"emotion:anger
original",98.4,93.6,-4.8,1.897,Large,4,0.1094,No,0.375,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:happy
original",98.4,98.4,0,0,Small,1,1,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:sad
original",99.2,95.2,-4,1.89,Large,6,0.125,No,0.375,No,qwen-32-sys-prompt,disinfo,Normal
"relation:close
original",96.8,96,-0.8,0.378,Medium,1.33,1,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"relation:hierarchical_down
original",98.4,98.4,0,0,Small,1,1,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"relation:hierarchical_up
original",96.8,96.8,0,0,Small,1,1,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"stake:high
original",98.4,96.8,-1.6,1.414,Large,∞,0.5,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"stake:low
original",96.8,98.4,1.6,0.816,Large,0.5,0.6875,No,1,No,qwen-32-sys-prompt,disinfo,Normal
"unmodified
original_combined",98.4,95.2,-3.2,2,Large,∞,0.125,No,0.375,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:anger
original",69.09,63.03,-6.06,3.03,Large,1.88,0.0032,Yes,0.0143,Yes,qwen-32-sys-prompt,medqa,Normal
"emotion:happy
original",67.61,62.98,-4.63,2.385,Large,1.66,0.022,Yes,0.0661,No,qwen-32-sys-prompt,medqa,Normal
"emotion:sad
original",66.73,59.12,-7.62,3.559,Large,2,0.0005,Yes,0.0043,Yes,qwen-32-sys-prompt,medqa,Normal
"relation:close
original",66.87,62.63,-4.24,2.069,Large,1.51,0.0482,Yes,0.1085,No,qwen-32-sys-prompt,medqa,Normal
"relation:hierarchical_down
original",65.93,65.32,-0.6,0.293,Medium,1.06,0.8454,No,0.8454,No,qwen-32-sys-prompt,medqa,Normal
"relation:hierarchical_up
original",66.13,63.71,-2.42,1.294,Large,1.32,0.2354,No,0.3026,No,qwen-32-sys-prompt,medqa,Normal
"stake:high
original",64.79,61.37,-3.42,1.628,Large,1.37,0.125,No,0.225,No,qwen-32-sys-prompt,medqa,Normal
"stake:low
original",69.49,67.47,-2.02,1.078,Large,1.26,0.3318,No,0.3733,No,qwen-32-sys-prompt,medqa,Normal
"unmodified
original_combined",66.26,63.43,-2.83,1.51,Large,1.39,0.1606,No,0.2409,No,qwen-32-sys-prompt,medqa,Normal
"emotion:anger
original",79,78.6,-0.4,0.324,Medium,1.11,0.8714,No,0.8714,No,qwen-32-sys-prompt,trivia,Normal
"emotion:happy
original",79,78.4,-0.6,0.507,Large,1.19,0.7359,No,0.8279,No,qwen-32-sys-prompt,trivia,Normal
"emotion:sad
original",79,77.4,-1.6,1.461,Large,1.73,0.2005,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"relation:close
original",80.8,79.8,-1,0.87,Large,1.36,0.4869,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"relation:hierarchical_down
original",78.36,79.16,0.8,0.686,Large,0.79,0.6076,No,0.7812,No,qwen-32-sys-prompt,trivia,Normal
"relation:hierarchical_up
original",78.2,81.6,3.4,2.959,Large,0.32,0.0046,Yes,0.041,Yes,qwen-32-sys-prompt,trivia,Normal
"stake:high
original",78.96,77.56,-1.4,1.043,Large,1.37,0.3713,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"stake:low
original",80.8,79.4,-1.4,1.183,Large,1.5,0.3105,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"unmodified
original_combined",80.6,79.4,-1.2,0.973,Large,1.38,0.4177,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"emotion:anger
original",78.38,72.53,-5.86,3.305,Large,2.21,0.0013,Yes,0.0014,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"emotion:happy
original",83.88,75.71,-8.16,4.924,Large,4.08,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"emotion:sad
original",81.02,73.88,-7.14,3.796,Large,2.4,0.0002,Yes,0.0003,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:close
original",78.48,72.78,-5.7,3.16,Large,2.17,0.0021,Yes,0.0021,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:hierarchical_down
original",83.84,75.05,-8.79,4.9,Large,3.53,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:hierarchical_up
original",82.07,74.89,-7.17,3.952,Large,2.7,0.0001,Yes,0.0002,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"stake:high
original",78.62,72.1,-6.52,3.451,Large,2.19,0.0007,Yes,0.0009,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"stake:low
original",84.49,76.33,-8.16,4.588,Large,3.22,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"unmodified
original_combined",85.01,75.98,-9.03,4.801,Large,3.2,0,Yes,0,Yes,qwen-32-sys-prompt,truthfulqa,Normal
