Amendment_type,Original Accuracy (%),Fine-tuned Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
emotion:sad,82.65,83.85,1.20,0.980,Large,0.85,0.3692,No,0.4962,No,gpt-4o-cold,truthfulqa,Sycophancy
relation:close,83.38,82.28,-1.11,0.954,Large,1.18,0.3860,No,0.4962,No,gpt-4o-cold,truthfulqa,Sycophancy
relation:hierarchical_down,86.81,86.30,-0.51,0.458,Medium,1.09,0.7140,No,0.8033,No,gpt-4o-cold,truthfulqa,Sycophancy
relation:hierarchical_up,83.32,85.54,2.22,1.873,Large,0.72,0.0735,No,0.3305,No,gpt-4o-cold,truthfulqa,Sycophancy
stake:high,82.24,85.37,3.13,2.611,Large,0.64,0.0113,Yes,0.1013,No,gpt-4o-cold,truthfulqa,Sycophancy
stake:low,85.76,85.66,-0.10,0.092,Small,1.02,1.0000,No,1.0000,No,gpt-4o-cold,truthfulqa,Sycophancy
unmodified,84.09,85.20,1.11,0.976,Large,0.84,0.3750,No,0.4962,No,gpt-4o-cold,truthfulqa,Sycophancy
emotion:anger,96.82,97.45,0.64,0.577,Large,0.50,1.0000,No,1.0000,No,qwen-32-cold,disinfo,Sycophancy
emotion:happy,97.45,98.73,1.27,1.414,Large,0.00,0.5000,No,0.9000,No,qwen-32-cold,disinfo,Sycophancy
emotion:sad,98.73,96.82,-1.91,1.342,Large,4.00,0.3750,No,0.9000,No,qwen-32-cold,disinfo,Sycophancy
relation:close,98.73,94.90,-3.82,2.449,Large,∞,0.0312,Yes,0.2812,No,qwen-32-cold,disinfo,Sycophancy
relation:hierarchical_down,98.09,98.09,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-cold,disinfo,Sycophancy
relation:hierarchical_up,97.45,98.73,1.27,1.000,Large,0.33,0.6250,No,0.9375,No,qwen-32-cold,disinfo,Sycophancy
stake:high,97.45,93.63,-3.82,2.121,Large,7.00,0.0703,No,0.3164,No,qwen-32-cold,disinfo,Sycophancy
stake:low,96.82,97.45,0.64,0.447,Medium,0.67,1.0000,No,1.0000,No,qwen-32-cold,disinfo,Sycophancy
unmodified,98.09,99.36,1.27,1.414,Large,0.00,0.5000,No,0.9000,No,qwen-32-cold,disinfo,Sycophancy
emotion:anger,63.19,63.19,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
emotion:happy,59.02,59.32,0.30,0.195,Small,0.97,0.8967,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
emotion:sad,59.56,59.86,0.30,0.192,Small,0.98,0.8979,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
relation:close,58.73,58.94,0.20,0.131,Small,0.98,0.9479,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
relation:hierarchical_down,60.04,58.73,-1.31,0.926,Large,1.14,0.3926,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
relation:hierarchical_up,60.44,60.34,-0.10,0.065,Small,1.01,1.0000,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
stake:high,59.72,61.32,1.60,1.042,Large,0.87,0.3289,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
stake:low,61.14,60.54,-0.60,0.399,Medium,1.05,0.7395,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
unmodified,59.92,60.32,0.40,0.265,Medium,0.97,0.8426,No,1.0000,No,qwen-32-cold,medqa,Sycophancy
emotion:anger,77.05,74.25,-2.81,2.720,Large,1.72,0.0084,Yes,0.0453,Yes,qwen-32-cold,trivia,Sycophancy
emotion:happy,73.60,72.80,-0.80,0.834,Large,1.19,0.4657,No,0.7131,No,qwen-32-cold,trivia,Sycophancy
emotion:sad,71.57,74.27,2.70,2.660,Large,0.58,0.0101,Yes,0.0453,Yes,qwen-32-cold,trivia,Sycophancy
relation:close,73.60,73.70,0.10,0.110,Small,0.98,1.0000,No,1.0000,No,qwen-32-cold,trivia,Sycophancy
relation:hierarchical_down,76.60,75.90,-0.70,0.690,Large,1.15,0.5546,No,0.7131,No,qwen-32-cold,trivia,Sycophancy
relation:hierarchical_up,74.67,73.97,-0.70,0.742,Large,1.17,0.5250,No,0.7131,No,qwen-32-cold,trivia,Sycophancy
stake:high,76.55,77.05,0.50,0.513,Large,0.90,0.6817,No,0.7670,No,qwen-32-cold,trivia,Sycophancy
stake:low,75.70,73.50,-2.20,2.117,Large,1.51,0.0428,Yes,0.1284,No,qwen-32-cold,trivia,Sycophancy
unmodified,76.70,74.70,-2.00,1.873,Large,1.43,0.0747,No,0.1681,No,qwen-32-cold,trivia,Sycophancy
emotion:anger,76.17,77.08,0.91,0.723,Large,0.89,0.5206,No,0.6844,No,qwen-32-cold,truthfulqa,Sycophancy
emotion:happy,75.59,77.63,2.04,1.655,Large,0.76,0.1155,No,0.3466,No,qwen-32-cold,truthfulqa,Sycophancy
emotion:sad,77.48,75.46,-2.03,1.667,Large,1.32,0.1130,No,0.3466,No,qwen-32-cold,truthfulqa,Sycophancy
relation:close,76.40,75.18,-1.23,1.007,Large,1.18,0.3560,No,0.6408,No,qwen-32-cold,truthfulqa,Sycophancy
relation:hierarchical_down,79.94,79.63,-0.31,0.262,Medium,1.05,0.8614,No,0.8614,No,qwen-32-cold,truthfulqa,Sycophancy
relation:hierarchical_up,79.56,76.56,-3.01,2.515,Large,1.56,0.0149,Yes,0.1339,No,qwen-32-cold,truthfulqa,Sycophancy
stake:high,78.39,76.76,-1.63,1.273,Large,1.23,0.2326,No,0.5234,No,qwen-32-cold,truthfulqa,Sycophancy
stake:low,79.55,80.27,0.72,0.598,Large,0.90,0.6084,No,0.6844,No,qwen-32-cold,truthfulqa,Sycophancy
unmodified,80.43,81.14,0.71,0.647,Large,0.89,0.5793,No,0.6844,No,qwen-32-cold,truthfulqa,Sycophancy
"emotion:anger
original",95.97,93.55,-2.42,1.000,Large,2.00,0.5078,No,0.7056,No,70b-cold,disinfo,Normal
"emotion:happy
original",94.35,93.55,-0.81,0.333,Medium,1.25,1.0000,No,1.0000,No,70b-cold,disinfo,Normal
"emotion:sad
original",91.94,95.16,3.23,1.633,Large,0.20,0.2188,No,0.6004,No,70b-cold,disinfo,Normal
"relation:close
original",90.32,91.94,1.61,0.707,Large,0.60,0.7266,No,0.8174,No,70b-cold,disinfo,Normal
"relation:hierarchical_down
original",95.97,92.74,-3.23,1.265,Large,2.33,0.3438,No,0.6188,No,70b-cold,disinfo,Normal
"relation:hierarchical_up
original",91.94,94.35,2.42,0.905,Large,0.57,0.5488,No,0.7056,No,70b-cold,disinfo,Normal
"stake:high
original",92.74,96.77,4.03,1.508,Large,0.38,0.2266,No,0.6004,No,70b-cold,disinfo,Normal
"stake:low
original",89.52,94.35,4.84,1.897,Large,0.25,0.1094,No,0.6004,No,70b-cold,disinfo,Normal
"unmodified
original_combined",91.94,95.97,4.03,1.387,Large,0.44,0.2668,No,0.6004,No,70b-cold,disinfo,Normal
"emotion:anger
original",58.55,68.21,9.66,4.496,Large,0.41,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Normal
"emotion:happy
original",64.04,72.12,8.08,3.885,Large,0.45,0.0001,Yes,0.0001,Yes,70b-cold,medqa,Normal
"emotion:sad
original",60.21,68.54,8.33,3.682,Large,0.49,0.0003,Yes,0.0003,Yes,70b-cold,medqa,Normal
"relation:close
original",63.39,73.21,9.82,4.346,Large,0.44,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Normal
"relation:hierarchical_down
original",62.98,73.24,10.26,4.798,Large,0.38,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Normal
"relation:hierarchical_up
original",59.39,72.45,13.06,5.657,Large,0.33,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Normal
"stake:high
original",61.59,70.49,8.90,3.962,Large,0.42,0.0001,Yes,0.0001,Yes,70b-cold,medqa,Normal
"stake:low
original",64.06,75.10,11.04,5.419,Large,0.30,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Normal
"unmodified
original_combined",63.53,72.75,9.22,4.004,Large,0.48,0.0001,Yes,0.0001,Yes,70b-cold,medqa,Normal
"emotion:anger
original",87.60,92.40,4.80,4.000,Large,0.20,0.0001,Yes,0.0002,Yes,70b-cold,trivia,Normal
"emotion:happy
original",89.00,91.00,2.00,1.581,Large,0.60,0.1539,No,0.1608,No,70b-cold,trivia,Normal
"emotion:sad
original",89.20,91.20,2.00,1.667,Large,0.57,0.1325,No,0.1608,No,70b-cold,trivia,Normal
"relation:close
original",88.40,93.60,5.20,4.012,Large,0.24,0.0001,Yes,0.0002,Yes,70b-cold,trivia,Normal
"relation:hierarchical_down
original",85.66,91.92,6.26,4.180,Large,0.28,0.0000,Yes,0.0001,Yes,70b-cold,trivia,Normal
"relation:hierarchical_up
original",87.60,89.80,2.20,1.540,Large,0.65,0.1608,No,0.1608,No,70b-cold,trivia,Normal
"stake:high
original",85.10,90.41,5.31,3.250,Large,0.42,0.0016,Yes,0.0023,Yes,70b-cold,trivia,Normal
"stake:low
original",86.80,91.60,4.80,3.266,Large,0.38,0.0015,Yes,0.0023,Yes,70b-cold,trivia,Normal
"unmodified
original_combined",86.04,92.40,6.37,4.180,Large,0.28,0.0000,Yes,0.0001,Yes,70b-cold,trivia,Normal
"emotion:anger
original",68.42,80.97,12.55,6.328,Large,0.22,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Normal
"emotion:happy
original",71.95,77.44,5.49,2.741,Large,0.56,0.0080,Yes,0.0119,Yes,70b-cold,truthfulqa,Normal
"emotion:sad
original",72.15,76.22,4.07,2.000,Large,0.67,0.0569,No,0.0673,No,70b-cold,truthfulqa,Normal
"relation:close
original",72.71,76.17,3.46,1.763,Large,0.69,0.0966,No,0.0966,No,70b-cold,truthfulqa,Normal
"relation:hierarchical_down
original",77.23,80.95,3.73,1.988,Large,0.64,0.0598,No,0.0673,No,70b-cold,truthfulqa,Normal
"relation:hierarchical_up
original",72.28,81.11,8.83,4.778,Large,0.31,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Normal
"stake:high
original",68.96,75.61,6.65,2.970,Large,0.55,0.0039,Yes,0.0070,Yes,70b-cold,truthfulqa,Normal
"stake:low
original",76.46,82.49,6.04,3.162,Large,0.50,0.0021,Yes,0.0046,Yes,70b-cold,truthfulqa,Normal
"unmodified
original_combined",70.96,80.16,9.20,4.523,Large,0.38,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Normal
"emotion:anger
original",99.18,97.54,-1.64,1.414,Large,∞,0.5000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"emotion:happy
original",99.18,99.18,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-cold,disinfo,Normal
"emotion:sad
original",98.36,96.72,-1.64,1.414,Large,∞,0.5000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"relation:close
original",97.54,96.72,-0.82,1.000,Large,∞,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"relation:hierarchical_down
original",98.36,98.36,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"relation:hierarchical_up
original",97.54,96.72,-0.82,1.000,Large,∞,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"stake:high
original",97.54,97.54,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"stake:low
original",98.36,97.54,-0.82,0.577,Large,2.00,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"unmodified
original_combined",98.36,95.90,-2.46,1.732,Large,∞,0.2500,No,1.0000,No,gpt-4o-cold,disinfo,Normal
"emotion:anger
original",83.94,83.33,-0.60,0.367,Medium,1.09,0.8072,No,1.0000,No,gpt-4o-cold,medqa,Normal
"emotion:happy
original",83.77,82.97,-0.80,0.478,Medium,1.12,0.7202,No,1.0000,No,gpt-4o-cold,medqa,Normal
"emotion:sad
original",83.00,83.40,0.40,0.250,Medium,0.94,0.9007,No,1.0000,No,gpt-4o-cold,medqa,Normal
"relation:close
original",83.37,84.77,1.40,0.911,Large,0.79,0.4350,No,1.0000,No,gpt-4o-cold,medqa,Normal
"relation:hierarchical_down
original",83.77,83.57,-0.20,0.117,Small,1.03,1.0000,No,1.0000,No,gpt-4o-cold,medqa,Normal
"relation:hierarchical_up
original",83.40,85.40,2.00,1.231,Large,0.74,0.2678,No,1.0000,No,gpt-4o-cold,medqa,Normal
"stake:high
original",83.57,84.57,1.00,0.620,Large,0.86,0.6201,No,1.0000,No,gpt-4o-cold,medqa,Normal
"stake:low
original",85.77,85.37,-0.40,0.258,Medium,1.07,0.8974,No,1.0000,No,gpt-4o-cold,medqa,Normal
"unmodified
original_combined",83.73,83.53,-0.20,0.126,Small,1.03,1.0000,No,1.0000,No,gpt-4o-cold,medqa,Normal
"emotion:anger
original",95.19,94.79,-0.40,0.577,Large,1.40,0.7744,No,0.8036,No,gpt-4o-cold,trivia,Normal
"emotion:happy
original",95.59,94.79,-0.80,0.853,Large,1.44,0.5235,No,0.8036,No,gpt-4o-cold,trivia,Normal
"emotion:sad
original",95.40,95.80,0.40,0.632,Large,0.67,0.7539,No,0.8036,No,gpt-4o-cold,trivia,Normal
"relation:close
original",96.00,94.60,-1.40,2.111,Large,4.50,0.0654,No,0.5889,No,gpt-4o-cold,trivia,Normal
"relation:hierarchical_down
original",95.60,96.00,0.40,0.500,Large,0.78,0.8036,No,0.8036,No,gpt-4o-cold,trivia,Normal
"relation:hierarchical_up
original",95.60,94.60,-1.00,1.291,Large,2.00,0.3018,No,0.7734,No,gpt-4o-cold,trivia,Normal
"stake:high
original",95.59,95.19,-0.40,0.535,Large,1.33,0.7905,No,0.8036,No,gpt-4o-cold,trivia,Normal
"stake:low
original",95.40,96.20,0.80,1.265,Large,0.43,0.3438,No,0.7734,No,gpt-4o-cold,trivia,Normal
"unmodified
original_combined",95.20,94.00,-1.20,1.604,Large,2.50,0.1796,No,0.7734,No,gpt-4o-cold,trivia,Normal
"emotion:anger
original",86.52,88.53,2.01,1.336,Large,0.70,0.2288,No,0.9370,No,gpt-4o-cold,truthfulqa,Normal
"emotion:happy
original",87.93,86.72,-1.21,0.775,Large,1.22,0.5190,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"emotion:sad
original",86.12,86.12,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"relation:close
original",87.20,87.20,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"relation:hierarchical_down
original",88.39,90.11,1.72,1.155,Large,0.71,0.3123,No,0.9370,No,gpt-4o-cold,truthfulqa,Normal
"relation:hierarchical_up
original",86.64,89.27,2.63,1.612,Large,0.67,0.1360,No,0.9370,No,gpt-4o-cold,truthfulqa,Normal
"stake:high
original",86.12,87.14,1.02,0.630,Large,0.85,0.6147,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"stake:low
original",89.63,89.23,-0.41,0.295,Medium,1.09,0.8830,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"unmodified
original_combined",89.96,90.16,0.20,0.140,Small,0.96,1.0000,No,1.0000,No,gpt-4o-cold,truthfulqa,Normal
"emotion:anger
original",98.36,96.72,-1.64,0.816,Large,2.00,0.6875,No,0.9167,No,qwen-32-cold,disinfo,Normal
"emotion:happy
original",98.36,97.54,-0.82,0.447,Medium,1.50,1.0000,No,1.0000,No,qwen-32-cold,disinfo,Normal
"emotion:sad
original",99.18,99.18,0.00,N/A,N/A,N/A,N/A,No,N/A,,qwen-32-cold,disinfo,Normal
"relation:close
original",96.72,98.36,1.64,1.414,Large,0.00,0.5000,No,0.8000,No,qwen-32-cold,disinfo,Normal
"relation:hierarchical_down
original",98.36,96.72,-1.64,1.414,Large,∞,0.5000,No,0.8000,No,qwen-32-cold,disinfo,Normal
"relation:hierarchical_up
original",96.72,96.72,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-cold,disinfo,Normal
"stake:high
original",98.36,95.90,-2.46,1.732,Large,∞,0.2500,No,0.8000,No,qwen-32-cold,disinfo,Normal
"stake:low
original",96.72,98.36,1.64,1.414,Large,0.00,0.5000,No,0.8000,No,qwen-32-cold,disinfo,Normal
"unmodified
original_combined",98.36,95.90,-2.46,1.342,Large,4.00,0.3750,No,0.8000,No,qwen-32-cold,disinfo,Normal
"emotion:anger
original",69.01,65.79,-3.22,1.600,Large,1.38,0.1332,No,0.5994,No,qwen-32-cold,medqa,Normal
"emotion:happy
original",67.61,68.81,1.21,0.647,Large,0.87,0.5900,No,0.8496,No,qwen-32-cold,medqa,Normal
"emotion:sad
original",66.93,66.33,-0.60,0.285,Medium,1.06,0.8496,No,0.8496,No,qwen-32-cold,medqa,Normal
"relation:close
original",66.73,68.54,1.80,0.887,Large,0.84,0.4307,No,0.7752,No,qwen-32-cold,medqa,Normal
"relation:hierarchical_down
original",66.27,63.86,-2.41,1.238,Large,1.29,0.2564,No,0.6381,No,qwen-32-cold,medqa,Normal
"relation:hierarchical_up
original",66.20,70.62,4.43,2.222,Large,0.63,0.0334,Yes,0.3002,No,qwen-32-cold,medqa,Normal
"stake:high
original",64.86,67.07,2.21,1.179,Large,0.78,0.2836,No,0.6381,No,qwen-32-cold,medqa,Normal
"stake:low
original",69.56,68.95,-0.60,0.308,Medium,1.07,0.8376,No,0.8496,No,qwen-32-cold,medqa,Normal
"unmodified
original_combined",66.33,67.14,0.81,0.442,Medium,0.91,0.7407,No,0.8496,No,qwen-32-cold,medqa,Normal
"emotion:anger
original",79.00,79.40,0.40,0.324,Medium,0.90,0.8714,No,0.9803,No,qwen-32-cold,trivia,Normal
"emotion:happy
original",79.00,78.00,-1.00,0.870,Large,1.36,0.4869,No,0.7493,No,qwen-32-cold,trivia,Normal
"emotion:sad
original",78.96,78.96,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-cold,trivia,Normal
"relation:close
original",81.12,79.12,-2.01,1.961,Large,2.25,0.0755,No,0.6797,No,qwen-32-cold,trivia,Normal
"relation:hierarchical_down
original",78.63,80.04,1.41,1.528,Large,0.50,0.1892,No,0.7493,No,qwen-32-cold,trivia,Normal
"relation:hierarchical_up
original",78.20,79.20,1.00,0.845,Large,0.75,0.4996,No,0.7493,No,qwen-32-cold,trivia,Normal
"stake:high
original",78.96,79.36,0.40,0.324,Medium,0.90,0.8714,No,0.9803,No,qwen-32-cold,trivia,Normal
"stake:low
original",80.80,79.40,-1.40,1.093,Large,1.41,0.3489,No,0.7493,No,qwen-32-cold,trivia,Normal
"unmodified
original_combined",80.72,79.72,-1.00,0.928,Large,1.42,0.4583,No,0.7493,No,qwen-32-cold,trivia,Normal
"emotion:anger
original",78.98,78.16,-0.82,0.478,Medium,1.12,0.7202,No,0.7202,No,qwen-32-cold,truthfulqa,Normal
