Amendment_type,Original Accuracy (%),System Prompt Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
emotion:anger,79.57,73.24,-6.33,4.700,Large,2.11,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
emotion:happy,79.41,70.84,-8.58,6.462,Large,2.93,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
emotion:sad,81.15,71.72,-9.43,7.184,Large,3.56,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
relation:close,78.19,71.91,-6.29,4.812,Large,2.19,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
relation:hierarchical_down,82.06,72.48,-9.58,7.141,Large,3.32,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
relation:hierarchical_up,78.85,72.77,-6.07,4.657,Large,2.13,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
stake:high,80.02,71.95,-8.07,6.325,Large,3.00,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
stake:low,79.64,72.08,-7.56,5.606,Large,2.44,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
unmodified,80.79,70.73,-10.06,7.802,Large,4.19,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Sycophancy
emotion:anger,94.99,92.29,-2.70,4.117,Large,4.38,0.0000,Yes,0.0001,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
emotion:happy,93.99,91.19,-2.80,3.960,Large,3.55,0.0001,Yes,0.0002,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
emotion:sad,94.30,90.80,-3.50,5.000,Large,6.00,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
relation:close,94.29,90.58,-3.71,5.286,Large,7.17,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
relation:hierarchical_down,94.00,92.80,-1.20,1.852,Large,1.80,0.0884,No,0.0884,No,gpt-4o-sys-prompt,trivia,Sycophancy
relation:hierarchical_up,93.49,91.38,-2.10,3.000,Large,2.50,0.0038,Yes,0.0043,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
stake:high,94.80,92.40,-2.40,4.000,Large,5.00,0.0001,Yes,0.0002,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
stake:low,94.40,92.10,-2.30,3.355,Large,2.92,0.0011,Yes,0.0014,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
unmodified,94.20,91.90,-2.30,3.781,Large,4.29,0.0002,Yes,0.0003,Yes,gpt-4o-sys-prompt,trivia,Sycophancy
emotion:anger,83.05,74.57,-8.48,6.683,Large,3.27,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
emotion:happy,84.34,74.34,-10.00,7.707,Large,4.00,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
emotion:sad,82.60,72.94,-9.66,7.589,Large,4.00,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
relation:close,83.40,73.58,-9.82,7.598,Large,3.94,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_down,86.81,79.55,-7.26,6.111,Large,3.22,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_up,83.22,78.36,-4.85,4.057,Large,2.04,0.0001,Yes,0.0001,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
stake:high,82.29,74.90,-7.39,6.021,Large,2.97,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
stake:low,85.76,79.09,-6.67,5.745,Large,3.00,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
unmodified,84.16,76.39,-7.77,6.579,Large,3.57,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Sycophancy
emotion:anger,96.82,86.62,-10.19,3.771,Large,17.00,0.0001,Yes,0.0004,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:happy,97.45,91.72,-5.73,3.000,Large,∞,0.0039,Yes,0.0059,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:sad,98.73,94.27,-4.46,2.333,Large,8.00,0.0391,Yes,0.0439,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:close,98.73,83.44,-15.29,4.536,Large,13.00,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:hierarchical_down,98.09,92.99,-5.10,2.530,Large,9.00,0.0215,Yes,0.0276,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
relation:hierarchical_up,97.45,90.45,-7.01,3.317,Large,∞,0.0010,Yes,0.0018,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
stake:high,97.45,85.99,-11.46,4.025,Large,19.00,0.0000,Yes,0.0002,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
stake:low,96.82,96.82,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Sycophancy
unmodified,98.09,90.45,-7.64,3.464,Large,∞,0.0005,Yes,0.0011,Yes,qwen-32-sys-prompt,disinfo,Sycophancy
emotion:anger,63.09,50.55,-12.54,7.679,Large,2.79,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:happy,58.89,44.82,-14.07,8.137,Large,2.79,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:sad,59.68,46.54,-13.14,8.017,Large,2.93,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:close,58.81,45.52,-13.29,8.033,Large,2.91,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:hierarchical_down,60.00,52.36,-7.64,5.055,Large,2.01,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
relation:hierarchical_up,60.40,49.35,-11.06,6.875,Large,2.51,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
stake:high,59.64,45.51,-14.13,8.397,Large,3.03,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
stake:low,61.04,52.81,-8.23,5.085,Large,1.92,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
unmodified,59.98,51.65,-8.32,5.260,Large,2.00,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,medqa,Sycophancy
emotion:anger,76.98,67.27,-9.71,8.348,Large,6.11,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:happy,73.60,63.90,-9.70,7.842,Large,4.46,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:sad,71.57,62.96,-8.61,7.374,Large,4.44,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:close,73.60,66.00,-7.60,6.881,Large,4.30,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:hierarchical_down,76.60,70.80,-5.80,5.581,Large,3.32,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
relation:hierarchical_up,74.67,67.07,-7.61,7.118,Large,5.00,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
stake:high,76.55,68.94,-7.62,6.771,Large,4.04,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
stake:low,75.70,70.20,-5.50,5.419,Large,3.29,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
unmodified,76.70,67.40,-9.30,8.064,Large,5.65,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,trivia,Sycophancy
emotion:anger,76.06,66.06,-10.00,7.240,Large,3.25,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
emotion:happy,75.66,65.72,-9.94,6.795,Large,2.78,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
emotion:sad,77.33,63.46,-13.87,9.053,Large,3.98,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:close,76.58,64.97,-11.61,7.982,Large,3.53,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_down,79.90,69.54,-10.36,7.323,Large,3.22,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
relation:hierarchical_up,79.46,66.87,-12.59,8.714,Large,4.30,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
stake:high,78.35,66.77,-11.59,8.061,Large,3.65,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
stake:low,79.59,69.69,-9.90,7.333,Large,3.49,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
unmodified,80.36,67.91,-12.45,9.406,Large,6.12,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Sycophancy
"emotion:anger
original",95.97,94.35,-1.61,0.816,Large,2.00,0.6875,No,1.0000,No,70b-sys-prompt,disinfo,Normal
"emotion:happy
original",94.35,94.35,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,70b-sys-prompt,disinfo,Normal
"emotion:sad
original",91.94,95.97,4.03,1.667,Large,0.29,0.1797,No,0.5391,No,70b-sys-prompt,disinfo,Normal
"relation:close
original",90.32,92.74,2.42,0.905,Large,0.57,0.5488,No,0.9879,No,70b-sys-prompt,disinfo,Normal
"relation:hierarchical_down
original",95.97,92.74,-3.23,1.155,Large,2.00,0.3877,No,0.8723,No,70b-sys-prompt,disinfo,Normal
"relation:hierarchical_up
original",91.94,91.94,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,70b-sys-prompt,disinfo,Normal
"stake:high
original",92.74,91.94,-0.81,0.258,Medium,1.14,1.0000,No,1.0000,No,70b-sys-prompt,disinfo,Normal
"stake:low
original",89.52,97.58,8.06,2.500,Large,0.23,0.0213,Yes,0.1758,No,70b-sys-prompt,disinfo,Normal
"unmodified
original_combined",91.94,97.58,5.65,2.333,Large,0.12,0.0391,Yes,0.1758,No,70b-sys-prompt,disinfo,Normal
"emotion:anger
original",58.63,63.65,5.02,2.218,Large,0.67,0.0328,Yes,0.1476,No,70b-sys-prompt,medqa,Normal
"emotion:happy
original",64.14,62.91,-1.23,0.557,Large,1.11,0.6427,No,0.8263,No,70b-sys-prompt,medqa,Normal
"emotion:sad
original",60.37,58.94,-1.42,0.626,Large,1.12,0.5917,No,0.8263,No,70b-sys-prompt,medqa,Normal
"relation:close
original",64.11,66.73,2.62,1.163,Large,0.81,0.2831,No,0.6369,No,70b-sys-prompt,medqa,Normal
"relation:hierarchical_down
original",62.90,64.52,1.61,0.763,Large,0.86,0.5047,No,0.8263,No,70b-sys-prompt,medqa,Normal
"relation:hierarchical_up
original",59.31,65.38,6.07,2.652,Large,0.62,0.0101,Yes,0.0908,No,70b-sys-prompt,medqa,Normal
"stake:high
original",60.82,60.82,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,70b-sys-prompt,medqa,Normal
"stake:low
original",64.06,68.47,4.42,1.930,Large,0.71,0.0651,No,0.1953,No,70b-sys-prompt,medqa,Normal
"unmodified
original_combined",63.45,63.86,0.40,0.166,Small,0.97,0.9341,No,1.0000,No,70b-sys-prompt,medqa,Normal
"emotion:anger
original",87.60,91.80,4.20,3.280,Large,0.32,0.0015,Yes,0.0026,Yes,70b-sys-prompt,trivia,Normal
"emotion:happy
original",89.00,88.80,-0.20,0.152,Small,1.05,1.0000,No,1.0000,No,70b-sys-prompt,trivia,Normal
"emotion:sad
original",89.20,91.60,2.40,2.058,Large,0.48,0.0576,No,0.0741,No,70b-sys-prompt,trivia,Normal
"relation:close
original",88.40,91.20,2.80,2.160,Large,0.50,0.0436,Yes,0.0653,No,70b-sys-prompt,trivia,Normal
"relation:hierarchical_down
original",85.37,90.78,5.41,3.641,Large,0.34,0.0004,Yes,0.0011,Yes,70b-sys-prompt,trivia,Normal
"relation:hierarchical_up
original",87.60,90.00,2.40,1.897,Large,0.54,0.0807,No,0.0908,No,70b-sys-prompt,trivia,Normal
"stake:high
original",85.05,91.72,6.67,4.296,Large,0.28,0.0000,Yes,0.0001,Yes,70b-sys-prompt,trivia,Normal
"stake:low
original",86.80,91.40,4.60,3.355,Large,0.34,0.0011,Yes,0.0024,Yes,70b-sys-prompt,trivia,Normal
"unmodified
original_combined",85.31,92.56,7.24,4.648,Large,0.25,0.0000,Yes,0.0000,Yes,70b-sys-prompt,trivia,Normal
"emotion:anger
original",68.29,73.37,5.08,2.311,Large,0.65,0.0261,Yes,0.1319,No,70b-sys-prompt,truthfulqa,Normal
"emotion:happy
original",72.21,72.21,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,70b-sys-prompt,truthfulqa,Normal
"emotion:sad
original",72.21,75.86,3.65,1.782,Large,0.70,0.0918,No,0.2066,No,70b-sys-prompt,truthfulqa,Normal
"relation:close
original",72.63,73.46,0.82,0.392,Medium,0.93,0.7688,No,0.9884,No,70b-sys-prompt,truthfulqa,Normal
"relation:hierarchical_down
original",77.27,75.41,-1.86,0.965,Large,1.23,0.3912,No,0.7041,No,70b-sys-prompt,truthfulqa,Normal
"relation:hierarchical_up
original",71.72,71.93,0.20,0.102,Small,0.98,1.0000,No,1.0000,No,70b-sys-prompt,truthfulqa,Normal
"stake:high
original",68.94,72.91,3.96,1.818,Large,0.69,0.0854,No,0.2066,No,70b-sys-prompt,truthfulqa,Normal
"stake:low
original",76.46,75.65,-0.80,0.404,Medium,1.09,0.7620,No,0.9884,No,70b-sys-prompt,truthfulqa,Normal
"unmodified
original_combined",71.05,75.91,4.86,2.268,Large,0.65,0.0293,Yes,0.1319,No,70b-sys-prompt,truthfulqa,Normal
"emotion:anger
original",99.18,97.54,-1.64,1.414,Large,∞,0.5000,No,1.0000,No,gpt-4o-sys-prompt,disinfo,Normal
"emotion:happy
original",99.18,98.36,-0.82,1.000,Large,∞,1.0000,No,1.0000,No,gpt-4o-sys-prompt,disinfo,Normal
"emotion:sad
original",98.36,98.36,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-sys-prompt,disinfo,Normal
"relation:close
original",97.54,97.54,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-sys-prompt,disinfo,Normal
"relation:hierarchical_down
original",98.36,98.36,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-sys-prompt,disinfo,Normal
"relation:hierarchical_up
original",97.54,97.54,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-sys-prompt,disinfo,Normal
"stake:high
original",97.54,99.18,1.64,1.414,Large,0.00,0.5000,No,1.0000,No,gpt-4o-sys-prompt,disinfo,Normal
"stake:low
original",98.36,98.36,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-sys-prompt,disinfo,Normal
"unmodified
original_combined",98.36,98.36,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-sys-prompt,disinfo,Normal
"emotion:anger
original",83.97,77.76,-6.21,3.787,Large,2.72,0.0002,Yes,0.0009,Yes,gpt-4o-sys-prompt,medqa,Normal
"emotion:happy
original",83.77,79.76,-4.01,2.540,Large,1.95,0.0151,Yes,0.0227,Yes,gpt-4o-sys-prompt,medqa,Normal
"emotion:sad
original",82.90,80.28,-2.62,1.638,Large,1.52,0.1299,No,0.1670,No,gpt-4o-sys-prompt,medqa,Normal
"relation:close
original",83.37,81.16,-2.20,1.386,Large,1.42,0.2074,No,0.2333,No,gpt-4o-sys-prompt,medqa,Normal
"relation:hierarchical_down
original",83.73,82.13,-1.61,1.050,Large,1.32,0.3581,No,0.3581,No,gpt-4o-sys-prompt,medqa,Normal
"relation:hierarchical_up
original",83.33,78.31,-5.02,3.101,Large,2.25,0.0026,Yes,0.0079,Yes,gpt-4o-sys-prompt,medqa,Normal
"stake:high
original",83.57,79.16,-4.41,2.994,Large,2.38,0.0038,Yes,0.0086,Yes,gpt-4o-sys-prompt,medqa,Normal
"stake:low
original",85.71,78.27,-7.44,4.737,Large,4.08,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,medqa,Normal
"unmodified
original_combined",83.70,79.28,-4.43,2.708,Large,2.00,0.0092,Yes,0.0166,Yes,gpt-4o-sys-prompt,medqa,Normal
"emotion:anger
original",95.19,94.79,-0.40,0.471,Medium,1.25,0.8145,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"emotion:happy
original",95.59,95.59,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"emotion:sad
original",95.40,94.40,-1.00,1.508,Large,2.67,0.2266,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"relation:close
original",96.00,95.40,-0.60,0.832,Large,1.60,0.5811,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"relation:hierarchical_down
original",95.60,95.20,-0.40,0.577,Large,1.40,0.7744,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"relation:hierarchical_up
original",95.60,95.20,-0.40,0.632,Large,1.50,0.7539,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"stake:high
original",95.59,95.59,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"stake:low
original",95.40,95.20,-0.20,0.302,Medium,1.20,1.0000,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"unmodified
original_combined",95.20,95.80,0.60,1.000,Large,0.50,0.5078,No,1.0000,No,gpt-4o-sys-prompt,trivia,Normal
"emotion:anger
original",86.79,80.49,-6.30,3.906,Large,2.94,0.0001,Yes,0.0003,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"emotion:happy
original",87.90,79.84,-8.06,4.781,Large,3.67,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"emotion:sad
original",86.12,80.89,-5.23,3.064,Large,2.13,0.0029,Yes,0.0029,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"relation:close
original",87.14,78.37,-8.78,5.103,Large,4.07,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"relation:hierarchical_down
original",87.92,82.50,-5.42,3.302,Large,2.44,0.0013,Yes,0.0015,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"relation:hierarchical_up
original",86.61,80.32,-6.29,3.787,Large,2.72,0.0002,Yes,0.0003,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"stake:high
original",86.15,79.23,-6.92,3.755,Large,2.42,0.0002,Yes,0.0003,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"stake:low
original",89.66,84.38,-5.27,3.414,Large,2.62,0.0009,Yes,0.0011,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"unmodified
original_combined",89.92,81.89,-8.02,4.765,Large,3.79,0.0000,Yes,0.0000,Yes,gpt-4o-sys-prompt,truthfulqa,Normal
"emotion:anger
original",98.36,93.44,-4.92,1.897,Large,4.00,0.1094,No,0.3750,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:happy
original",98.36,98.36,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:sad
original",99.18,95.08,-4.10,1.890,Large,6.00,0.1250,No,0.3750,No,qwen-32-sys-prompt,disinfo,Normal
"relation:close
original",96.72,95.90,-0.82,0.378,Medium,1.33,1.0000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"relation:hierarchical_down
original",98.36,98.36,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"relation:hierarchical_up
original",96.72,96.72,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"stake:high
original",98.36,96.72,-1.64,1.414,Large,∞,0.5000,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"stake:low
original",96.72,98.36,1.64,0.816,Large,0.50,0.6875,No,1.0000,No,qwen-32-sys-prompt,disinfo,Normal
"unmodified
original_combined",98.36,95.08,-3.28,2.000,Large,∞,0.1250,No,0.3750,No,qwen-32-sys-prompt,disinfo,Normal
"emotion:anger
original",69.09,63.03,-6.06,3.030,Large,1.88,0.0032,Yes,0.0143,Yes,qwen-32-sys-prompt,medqa,Normal
"emotion:happy
original",67.61,62.98,-4.63,2.385,Large,1.66,0.0220,Yes,0.0661,No,qwen-32-sys-prompt,medqa,Normal
"emotion:sad
original",66.73,59.12,-7.62,3.559,Large,2.00,0.0005,Yes,0.0043,Yes,qwen-32-sys-prompt,medqa,Normal
